날짜	left count	left distance	right count	right distance
8/8/2025 10:29:39	1	0.33	0	0
8/8/2025 10:29:54	0	0	0	0
8/8/2025 10:30:08	2	6.53	0	0
8/8/2025 10:30:20	0	0	0	0
8/8/2025 10:30:33	0	0	0	0
8/8/2025 10:30:47	0	0	0	0
8/8/2025 10:31:00	0	0	0	0
8/8/2025 10:31:14	0	0	0	0
8/8/2025 10:31:27	0	0	0	0
8/8/2025 10:31:42	0	0	0	0
8/8/2025 10:31:57	0	0	0	0
8/8/2025 10:32:11	0	0	0	0
8/8/2025 10:32:27	1	0.17	0	0
8/8/2025 10:35:12	0	0	1	12.91
8/8/2025 10:35:26	2	19.14	0	0
8/8/2025 10:35:40	13	166.71	0	0
8/8/2025 10:35:55	7	197.78	2	7.57
8/8/2025 10:36:08	8	77.61	8	252.04
8/8/2025 10:36:21	15	156.08	0	0
8/8/2025 10:36:36	0	0	0	0
8/8/2025 10:36:53	0	0	0	0
8/8/2025 10:37:06	1	33.45	0	0
8/8/2025 10:37:21	0	0	1	33.43
8/8/2025 10:37:34	0	0	0	0
8/8/2025 10:37:48	1	11.28	0	0
8/8/2025 10:38:04	1	25.28	0	0
8/8/2025 10:38:19	0	0	1	1.43
8/8/2025 10:39:43	0	0	0	0
8/8/2025 10:39:58	1	21.57	0	0
8/8/2025 10:40:11	0	0	0	0
8/8/2025 10:40:26	0	0	0	0
8/8/2025 10:40:40	0	0	0	0
8/8/2025 10:40:54	0	0	0	0
8/8/2025 10:41:09	0	0	0	0
8/8/2025 10:41:22	0	0	0	0
8/8/2025 10:41:36	0	0	0	0
8/8/2025 10:42:34	13	130.85	8	37.94
8/8/2025 10:42:49	16	185.6	10	44.26
8/8/2025 10:43:03	15	399.48	15	167.15
8/8/2025 10:43:15	18	474.91	18	295.18
8/8/2025 10:43:31	15	184.7	17	311.77
8/8/2025 10:44:54	4	20.38	3	0.99
8/8/2025 10:45:08	3	3.56	14	52.04
8/8/2025 10:45:23	2	6.65	1	1.65
8/8/2025 10:45:41	1	0.57	0	0
8/8/2025 10:47:51	12	75.41	4	8.16
8/8/2025 10:48:05	2	148.68	15	68.96
8/8/2025 10:48:21	3	29.36	3	5.74
8/8/2025 10:48:36	0	0	0	0
8/8/2025 10:48:49	1	0.54	1	15.64
8/8/2025 10:49:04	4	30.58	0	0
8/8/2025 10:49:28	2	2.51	0	0
8/8/2025 10:49:44	10	26.76	1	0.63
8/8/2025 10:50:19	0	0	8	22.71
8/8/2025 10:50:47	0	0	10	88.1
8/8/2025 10:51:18	0	0	0	0
8/8/2025 10:51:33	0	0	8	55.14
8/8/2025 10:52:02	0	0	17	105.52
8/8/2025 10:52:17	0	0	14	54.23
8/8/2025 10:52:31	3	1.47	11	86.71
8/8/2025 10:52:44	0	0	2	72.4
8/8/2025 10:52:59	0	0	0	0
8/8/2025 10:53:29	0	0	5	21.52
8/8/2025 10:53:42	0	0	15	73.43
8/8/2025 11:04:23	4	14.73	5	22.19
8/8/2025 11:04:37	2	14.36	1	9.05
8/8/2025 11:04:53	6	59	2	25.13
8/8/2025 11:05:08	0	0	15	48.23
8/8/2025 11:05:23	0	0	0	0
8/8/2025 11:05:41	14	28.28	15	51.17
8/8/2025 11:05:55	4	39.11	3	16.24
8/8/2025 11:06:10	7	67.83	1	0.55
8/8/2025 11:06:24	15	131.09	11	23.81
8/8/2025 11:06:42	4	33.22	3	12.47
8/8/2025 11:06:56	10	46.91	8	191.91
8/8/2025 11:07:11	3	342.95	16	50.36
8/8/2025 11:07:24	2	3.37	9	21.42
8/8/2025 11:07:39	0	0	0	0
8/8/2025 11:07:52	0	0	0	0
8/8/2025 11:08:06	0	0	0	0
8/8/2025 11:08:21	0	0	1	1.71
8/8/2025 11:08:36	0	0	1	0.97
8/8/2025 11:08:55	0	0	6	23.28
8/8/2025 11:09:08	12	122.4	15	396.81
8/8/2025 11:09:23	3	19.13	4	29.14
8/8/2025 11:09:38	0	0	3	21.82
8/8/2025 11:09:51	0	0	4	5.58
8/8/2025 11:10:06	7	44.84	10	52
8/8/2025 11:10:22	3	5.21	8	26.66
8/8/2025 11:10:38	0	0	2	0.86
8/8/2025 11:10:50	1	3.31	1	1.33
8/8/2025 11:11:06	1	0.22	0	0
8/8/2025 11:11:19	0	0	0	0
8/8/2025 11:11:32	0	0	0	0
8/8/2025 11:11:45	3	25.18	4	10.94
8/8/2025 11:11:58	15	126.83	2	72.27
8/8/2025 11:12:14	12	86.09	13	212.81
8/8/2025 11:12:30	0	0	10	136.17
8/8/2025 11:12:45	2	7.54	14	128.05
8/8/2025 11:12:59	1	8.21	12	58.53
8/8/2025 11:13:15	0	0	3	117.43
8/8/2025 11:13:31	0	0	0	0
8/8/2025 14:24:58	8	107.46	7	79.53
8/8/2025 14:25:14	19	376.94	18	191.04
8/8/2025 14:25:29	9	67.02	17	233.51
8/8/2025 14:25:45	14	165.83	8	15.95
8/8/2025 14:26:00	2	86.27	3	50.99
8/8/2025 14:26:16	2	73.1	0	0
8/8/2025 14:26:31	15	222.64	11	95.68
8/8/2025 14:26:43	8	59.09	15	137.27
8/8/2025 14:26:59	12	47.82	18	103.14
8/8/2025 14:27:12	9	53.23	13	288.35
8/8/2025 14:27:26	14	260.09	13	76.89
8/8/2025 14:27:43	17	255.52	12	101.82
8/8/2025 14:27:58	16	371.02	13	49.92
8/8/2025 14:28:12	3	70.29	3	22.34
8/8/2025 14:29:14	0	0	1	0.83
8/8/2025 14:29:29	6	22.07	6	23.6
8/8/2025 14:29:45	0	0	14	135.79
8/8/2025 14:30:00	14	48.47	1	105.66
8/8/2025 14:30:14	14	79.56	0	0
8/8/2025 14:30:29	0	0	17	152.77
8/8/2025 14:30:44	3	23.69	0	0
8/8/2025 14:31:25	0	0	1	189.28
